Date de début;Date de fin;Organisme;code zas;Zas;code site;nom site;type d'implantation;Polluant;type d'influence;Réglementaire;type d'évaluation;type de valeur;valeur;valeur brute;unité de mesure;taux de saisie;couverture temporelle;couverture de données;code qualité;validité;Latitude;Longitude
2024/01/01 00:00:00;2024/12/31 23:59:59;ATMO GRAND EST;FR44ZAG02;ZAG METZ;FR01011;Metz-Centre;Urbaine;PM2.5;Fond;Oui;mesures fixes;Moy. annuelle;8.0;7.945998494731551;µg-m3;91.0;100.0;91.0;R;1;49.119442;6.180833
2024/01/01 00:00:00;2024/12/31 23:59:59;ATMO GRAND EST;FR44ZAG02;ZAG METZ;FR01020;Thionville-Centre;Urbaine;PM2.5;Fond;Oui;mesures fixes;Moy. annuelle;7.0;6.901088929219609;µg-m3;94.0;100.0;94.0;R;1;49.358337;6.156942
2024/01/01 00:00:00;2024/12/31 23:59:59;ATMO GRAND EST;FR44ZRE01;ZR GRAND-EST;FR01065;Belleville sur Meuse;Urbaine;PM2.5;Trafic;Oui;mesures fixes;Moy. annuelle;7.0;7.3058573452999145;µg-m3;97.0;100.0;96.0;R;1;49.16778;5.387461
2024/01/01 00:00:00;2024/12/31 23:59:59;ATMO SUD;FR93ZAG01;ZAG MARSEILLE-AIX;FR02008;Port de Bouc Leque;Urbaine;PM2.5;Industrielle;Oui;mesures fixes;Moy. annuelle;8.0;7.905084538103407;µg-m3;93.0;99.0;93.0;R;1;43.401952;4.981919
2024/01/01 00:00:00;2024/12/31 23:59:59;ATMO SUD;FR93ZAG01;ZAG MARSEILLE-AIX;FR02009;Port Saint Louis;Périurbaine;PM2.5;Industrielle;Oui;mesures fixes;Moy. annuelle;7.0;7.196880841121475;µg-m3;98.0;100.0;97.0;R;1;43.39378;4.801024
2024/01/01 00:00:00;2024/12/31 23:59:59;ATMO SUD;FR93ZAG01;ZAG MARSEILLE-AIX;FR02013;Fos Les Carabins;Périurbaine;PM2.5;Industrielle;Oui;mesures fixes;Moy. annuelle;9.0;9.059755950223536;µg-m3;96.0;98.0;94.0;R;1;43.458927;4.934572
2024/01/01 00:00:00;2024/12/31 23:59:59;ATMO SUD;FR93ZAG01;ZAG MARSEILLE-AIX;FR02020;Rognac les Brets;Périurbaine;PM2.5;Industrielle;Oui;mesures fixes;Moy. annuelle;9.0;9.085661413562535;µg-m3;96.0;99.0;95.0;R;1;43.510802;5.220046
2024/01/01 00:00:00;2024/12/31 23:59:59;ATMO SUD;FR93ZRE02;ZR PROVENCE-ALPES-COTE-D-AZUR;FR02022;Arles;Urbaine;PM2.5;Fond;Oui;mesures fixes;Moy. annuelle;10.0;10.363760282021163;µg-m3;97.0;100.0;97.0;R;1;43.675114;4.62921
2024/01/01 00:00:00;2024/12/31 23:59:59;ATMO SUD;FR93ZAG01;ZAG MARSEILLE-AIX;FR02041;SALON;Urbaine;PM2.5;Fond;Oui;mesures fixes;Moy. annuelle;8.0;7.971571215425225;µg-m3;99.0;100.0;99.0;R;1;43.639002;5.101097
2024/01/01 00:00:00;2024/12/31 23:59:59;ATMO SUD;FR93ZAG01;ZAG MARSEILLE-AIX;FR02043;Marignane;Urbaine;PM2.5;Fond;Oui;mesures fixes;Moy. annuelle;10.0;9.860938220378051;µg-m3;99.0;100.0;99.0;R;1;43.4165306;5.222281
2024/01/01 00:00:00;2024/12/31 23:59:59;ATMO SUD;FR93ZAG01;ZAG MARSEILLE-AIX;FR03006;MARSEILLE RABATAU;Urbaine;PM2.5;Trafic;Oui;mesures fixes;Moy. annuelle;10.0;10.495883321571384;µg-m3;98.0;98.0;97.0;R;1;43.276451;5.39736
2024/01/01 00:00:00;2024/12/31 23:59:59;ATMO SUD;FR93ZAG01;ZAG MARSEILLE-AIX;FR03014;MARSEILLE ST LOUIS;Urbaine;PM2.5;Fond;Oui;mesures fixes;Moy. annuelle;9.0;8.969309551208264;µg-m3;99.0;100.0;99.0;R;1;43.348048;5.360119
2024/01/01 00:00:00;2024/12/31 23:59:59;ATMO SUD;FR93ZAG01;ZAG MARSEILLE-AIX;FR03021;AIX ROY RENE;Urbaine;PM2.5;Trafic;Oui;mesures fixes;Moy. annuelle;18.0;17.619230769230775;µg-m3;90.0;2.0;1.0;N;-1;43.524075;5.448164
2024/01/01 00:00:00;2024/12/31 23:59:59;ATMO SUD;FR93ZRE02;ZR PROVENCE-ALPES-COTE-D-AZUR;FR03027;PLAN AUPS/STE  BAUME;Rurale près des villes;PM2.5;Fond;Oui;mesures fixes;Moy. annuelle;7.0;7.144192149703312;µg-m3;100.0;100.0;100.0;R;1;43.335201;5.727365
2024/01/01 00:00:00;2024/12/31 23:59:59;ATMO SUD;FR93ZAG01;ZAG MARSEILLE-AIX;FR03029;AIX CENTRE ECOLE ART;Urbaine;PM2.5;Fond;Oui;mesures fixes;Moy. annuelle;8.0;7.549017784493793;µg-m3;98.0;100.0;98.0;R;1;43.530285;5.440912
2024/01/01 00:00:00;2024/12/31 23:59:59;ATMO SUD;FR93ZAG01;ZAG MARSEILLE-AIX;FR03030;GARDANNE;Périurbaine;PM2.5;Industrielle;Oui;mesures fixes;Moy. annuelle;11.0;10.700011634671338;µg-m3;98.0;100.0;98.0;R;1;43.453584;5.466672
2024/01/01 00:00:00;2024/12/31 23:59:59;ATMO SUD;FR93ZAG01;ZAG MARSEILLE-AIX;FR03043;MARSEILLE 5 AVENUES;Urbaine;PM2.5;Fond;Oui;mesures fixes;Moy. annuelle;9.0;8.603612460026058;µg-m3;96.0;100.0;96.0;R;1;43.305287;5.394716
2024/01/01 00:00:00;2024/12/31 23:59:59;ATMO SUD;FR93ZAG03;ZAG TOULON;FR03064;LA VALETTE/LA GARDE;Périurbaine;PM2.5;Fond;Oui;mesures fixes;Moy. annuelle;8.0;8.11224702208859;µg-m3;98.0;100.0;98.0;R;1;43.135902;6.011513
2024/01/01 00:00:00;2024/12/31 23:59:59;ATMO SUD;FR93ZRE02;ZR PROVENCE-ALPES-COTE-D-AZUR;FR03070;ESTEREL;Périurbaine;PM2.5;Fond;Oui;mesures fixes;Moy. annuelle;7.0;7.409652463699082;µg-m3;96.0;100.0;96.0;R;1;43.437874;6.76839
2024/01/01 00:00:00;2024/12/31 23:59:59;ATMO SUD;FR93ZAG03;ZAG TOULON;FR03071;TOULON CLARET;Urbaine;PM2.5;Fond;Oui;mesures fixes;Moy. annuelle;7.0;7.336754148522986;µg-m3;97.0;100.0;97.0;R;1;43.131113;5.924184
2024/01/01 00:00:00;2024/12/31 23:59:59;ATMO SUD;FR93ZAG04;ZAG AVIGNON;FR03080;AVIGNON   MAIRIE;Urbaine;PM2.5;Fond;Oui;mesures fixes;Moy. annuelle;9.0;9.335549132947941;µg-m3;99.0;99.0;98.0;R;1;43.949673;4.804341
2024/01/01 00:00:00;2024/12/31 23:59:59;ATMO SUD;FR93ZAG04;ZAG AVIGNON;FR03091;Avignon Rocade De Gaulle;Urbaine;PM2.5;Trafic;Oui;mesures fixes;Moy. annuelle;13.0;12.82396694214875;µg-m3;99.0;100.0;99.0;R;1;43.9314;4.826875
2024/01/01 00:00:00;2024/12/31 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04002;GENNEVILLIERS;Urbaine;PM2.5;Fond;Oui;mesures fixes;Moy. annuelle;9.0;9.26009163802978;µg-m3;99.0;100.0;99.0;R;1;48.930319;2.29435
2024/01/01 00:00:00;2024/12/31 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04004;PARIS 18eme;Urbaine;PM2.5;Fond;Oui;mesures fixes;Moy. annuelle;7.0;7.439764982373683;µg-m3;97.0;100.0;97.0;R;1;48.891666;2.346667
2024/01/01 00:00:00;2024/12/31 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04024;GONESSE;Périurbaine;PM2.5;Fond;Oui;mesures fixes;Moy. annuelle;8.0;7.680439292251395;µg-m3;93.0;100.0;93.0;R;1;48.99083;2.444722
2024/01/01 00:00:00;2024/12/31 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04031;Av Champs Elysees;Urbaine;PM2.5;Trafic;Oui;mesures fixes;Moy. annuelle;9.0;9.117832615527856;µg-m3;98.0;100.0;98.0;R;1;48.868772;2.311231
2024/01/01 00:00:00;2024/12/31 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04034;VITRY-SUR-SEINE;Urbaine;PM2.5;Fond;Oui;mesures fixes;Moy. annuelle;9.0;8.507325921591542;µg-m3;97.0;100.0;97.0;R;1;48.775897;2.375788
2024/01/01 00:00:00;2024/12/31 23:59:59;AIRPARIF;FR11ZRE01;ZR ILE-DE-FRANCE;FR04048;Zone Rurale Nord;Rurale régionale;PM2.5;Fond;Oui;mesures fixes;Moy. annuelle;6.0;6.435016565748889;µg-m3;100.0;100.0;100.0;R;1;49.100277;2.343889
2024/01/01 00:00:00;2024/12/31 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04055;PARIS 1er Les Halles;Urbaine;PM2.5;Fond;Oui;mesures fixes;Moy. annuelle;10.0;9.687557497700087;µg-m3;99.0;100.0;99.0;R;1;48.86212;2.344616
2024/01/01 00:00:00;2024/12/31 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04058;Auto A1 -Saint-Denis;Urbaine;PM2.5;Trafic;Oui;mesures fixes;Moy. annuelle;14.0;13.723919952913542;µg-m3;97.0;100.0;97.0;R;1;48.925278;2.356667
2024/01/01 00:00:00;2024/12/31 23:59:59;AIRPARIF;FR11ZRE01;ZR ILE-DE-FRANCE;FR04066;Zone rurale Sud;Rurale régionale;PM2.5;Fond;Oui;mesures fixes;Moy. annuelle;7.0;6.834927161654152;µg-m3;97.0;100.0;97.0;R;1;48.364166;2.236944
2024/01/01 00:00:00;2024/12/31 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04122;RN6-MELUN;Périurbaine;PM2.5;Trafic;Oui;mesures fixes;Moy. annuelle;10.0;9.564542200669683;µg-m3;99.0;100.0;99.0;R;1;48.528057;2.653611
2024/01/01 00:00:00;2024/12/31 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04131;Boulevard Haussmann;Urbaine;PM2.5;Trafic;Oui;mesures fixes;Moy. annuelle;8.0;7.9072882545624585;µg-m3;97.0;100.0;97.0;R;1;48.873333;2.330278
2024/01/01 00:00:00;2024/12/31 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04150;LA DEFENSE;Urbaine;PM2.5;Fond;Oui;mesures fixes;Moy. annuelle;8.0;8.299404472532801;µg-m3;94.0;100.0;94.0;R;1;48.891388;2.240556
2024/01/01 00:00:00;2024/12/31 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04156;BOBIGNY;Urbaine;PM2.5;Fond;Oui;mesures fixes;Moy. annuelle;8.0;7.7982353615216855;µg-m3;99.0;100.0;99.0;R;1;48.902504;2.4525
2024/01/01 00:00:00;2024/12/31 23:59:59;AIRPARIF;FR11ZRE01;ZR ILE-DE-FRANCE;FR04173;RD934 Coulommiers;Périurbaine;PM2.5;Trafic;Oui;mesures fixes;Moy. annuelle;9.0;8.869469688254897;µg-m3;99.0;100.0;99.0;R;1;48.8059;3.084158
2024/01/01 00:00:00;2024/12/31 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04180;RN20 - MONTLHERY;Périurbaine;PM2.5;Trafic;Oui;mesures fixes;Moy. annuelle;12.0;11.76455593062508;µg-m3;98.0;99.0;98.0;R;1;48.64093;2.26872
2024/01/01 00:00:00;2024/12/31 23:59:59;AIRPARIF;FR11ZRE01;ZR ILE-DE-FRANCE;FR04181;RAMBOUILLET;Périurbaine;PM2.5;Fond;Oui;mesures fixes;Moy. annuelle;7.0;7.395241363532377;µg-m3;100.0;100.0;100.0;R;1;48.63373;1.830529
2024/01/01 00:00:00;2024/12/31 23:59:59;AIRPARIF;FR11ZRE01;ZR ILE-DE-FRANCE;FR04328;Zone Rurale SE;Rurale régionale;PM2.5;Fond;Oui;mesures fixes;Moy. annuelle;6.0;5.563303717559042;µg-m3;98.0;99.0;97.0;R;1;48.3547;2.6453
2024/01/01 00:00:00;2024/12/31 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04329;Bld peripherique Est;Urbaine;PM2.5;Trafic;Oui;mesures fixes;Moy. annuelle;11.0;10.51169633127495;µg-m3;95.0;99.0;94.0;R;1;48.838615;2.412781
2024/01/01 00:00:00;2024/12/31 23:59:59;ATMO NORMANDIE;FR28ZRE02;ZR NORMANDIE;FR05087;Maison Parc Brotonne;Rurale régionale;PM2.5;Fond;Oui;mesures fixes;Moy. annuelle;9.0;9.105843621399176;µg-m3;97.0;100.0;97.0;R;1;49.498417;0.758697
2024/01/01 00:00:00;2024/12/31 23:59:59;ATMO NORMANDIE;FR28ZAR01;ZAR LE-HAVRE;FR05089;Le Havre Lafaurie-montant;Urbaine;PM2.5;Trafic;Oui;mesures fixes;Moy. annuelle;8.0;8.372357243983041;µg-m3;96.0;100.0;96.0;R;1;49.500187;0.110903
